"package_version","license","used_in","publisher","repository"
"tiny-invariant@1.3.3","MIT","dashboard","Alex Reardon","https://github.com/alexreardon/tiny-invariant"
"tiny-warning@1.0.3","MIT","dashboard","Alex Reardon","https://github.com/alexreardon/tiny-warning"
"tinycolor2@1.6.0","MIT","dashboard","Brian Grinstead","https://github.com/bgrins/TinyColor"
"tldts-core@6.1.78","MIT","backend","Rémi Berson","https://github.com/remusao/tldts"
"tldts@6.1.78","MIT","backend","Rémi Berson","https://github.com/remusao/tldts"
"to-fast-properties@2.0.0","MIT","dashboard","Sindre Sorhus","https://github.com/sindresorhus/to-fast-properties"
"toggle-selection@1.0.6","MIT","dashboard;extension","sudodoki","https://github.com/sudodoki/toggle-selection"
"toidentifier@1.0.1","MIT","backend","Douglas Christopher Wilson","https://github.com/component/toidentifier"
"tough-cookie@5.1.1","BSD-3-Clause","backend","Jeremy Stashewsky","https://github.com/salesforce/tough-cookie"
"tr46@0.0.3","MIT","backend","Sebastian Mayr","https://github.com/Sebmaster/tr46.js"
"tr46@5.0.0","MIT","backend","Sebastian Mayr","https://github.com/jsdom/tr46"
"tree-changes@0.11.3","MIT","dashboard","Gil Barbara","https://github.com/gilbarbara/tree-changes"
"tree-changes@0.9.3","MIT","dashboard","Gil Barbara","https://github.com/gilbarbara/tree-changes"
"truthtrollers_extension@1.0.0","ISC","extension","",""
"tslib@1.14.1","0BSD","backend","Microsoft Corp.","https://github.com/Microsoft/tslib"
"tslib@2.4.0","0BSD","dashboard;extension","Microsoft Corp.","https://github.com/Microsoft/tslib"
"tslib@2.8.1","0BSD","backend;dashboard;extension","Microsoft Corp.","https://github.com/Microsoft/tslib"
"tunnel-agent@0.6.0","Apache-2.0","extension","Mikeal Rogers","https://github.com/mikeal/tunnel-agent"
"type-fest@4.41.0","(MIT OR CC0-1.0)","dashboard","Sindre Sorhus","https://github.com/sindresorhus/type-fest"
"type-is@1.6.18","MIT","backend","","https://github.com/jshttp/type-is"
"typed-query-selector@2.12.0","MIT","backend;extension","Pig Fang","https://github.com/g-plane/typed-query-selector"
"typedarray@0.0.6","MIT","backend","James Halliday","https://github.com/substack/typedarray"
"typescript@4.9.5","Apache-2.0","extension","Microsoft Corp.","https://github.com/Microsoft/TypeScript"
"undici-types@6.20.0","MIT","backend;extension","","https://github.com/nodejs/undici"
"undici@6.20.1","MIT","backend;dashboard","","https://github.com/nodejs/undici"
"undici@6.21.2","MIT","extension","","https://github.com/nodejs/undici"
"universalify@2.0.1","MIT","backend;extension","Ryan Zimmerman","https://github.com/RyanZim/universalify"
"unpipe@1.0.0","MIT","backend","Douglas Christopher Wilson","https://github.com/stream-utils/unpipe"
"use-callback-ref@1.3.3","MIT","dashboard;extension","theKashey","https://github.com/theKashey/use-callback-ref"
"use-sidecar@1.1.3","MIT","dashboard;extension","theKashey","https://github.com/theKashey/use-sidecar"
"use-sync-external-store@1.6.0","MIT","dashboard","","https://github.com/facebook/react"
"util-deprecate@1.0.2","MIT","backend;extension","Nathan Rajlich","https://github.com/TooTallNate/util-deprecate"
"util@0.10.4","MIT","backend","Joyent","https://github.com/defunctzombie/node-util"
"utils-merge@1.0.1","MIT","backend","Jared Hanson","https://github.com/jaredhanson/utils-merge"
"uuid@13.0.0","MIT","backend","","https://github.com/uuidjs/uuid"
"vary@1.1.2","MIT","backend","Douglas Christopher Wilson","https://github.com/jshttp/vary"
"veristrata-dashboard@0.0.0","UNLICENSED","dashboard","",""
"victory-vendor@36.9.2","MIT AND ISC","dashboard","Formidable","https://github.com/FormidableLabs/victory"
"w3c-xmlserializer@5.0.0","MIT","backend","","https://github.com/jsdom/w3c-xmlserializer"
"web-push@3.6.7","MPL-2.0","backend","Marco Castelluccio","https://github.com/web-push-libs/web-push"
"webextension-polyfill@0.12.0","MPL-2.0","dashboard;extension","Mozilla","https://github.com/mozilla/webextension-polyfill"
"webidl-conversions@3.0.1","BSD-2-Clause","backend","Domenic Denicola","https://github.com/jsdom/webidl-conversions"
"webidl-conversions@7.0.0","BSD-2-Clause","backend","Domenic Denicola","https://github.com/jsdom/webidl-conversions"
"whatwg-encoding@3.1.1","MIT","backend;dashboard;extension","Domenic Denicola","https://github.com/jsdom/whatwg-encoding"
"whatwg-mimetype@4.0.0","MIT","backend;dashboard;extension","Domenic Denicola","https://github.com/jsdom/whatwg-mimetype"
"whatwg-url@14.1.1","MIT","backend","Sebastian Mayr","https://github.com/jsdom/whatwg-url"
"whatwg-url@5.0.0","MIT","backend","Sebastian Mayr","https://github.com/jsdom/whatwg-url"
"which@2.0.2","ISC","backend;extension","Isaac Z. Schlueter","https://github.com/isaacs/node-which"
"wide-align@1.1.5","ISC","backend","Rebecca Turner","https://github.com/iarna/wide-align"
"wrap-ansi@7.0.0","MIT","backend;extension","Sindre Sorhus","https://github.com/chalk/wrap-ansi"
"wrappy@1.0.2","ISC","backend;extension","Isaac Z. Schlueter","https://github.com/npm/wrappy"
"ws@8.18.1","MIT","extension","Einar Otto Stangvik","https://github.com/websockets/ws"
"ws@8.18.3","MIT","backend;dashboard","Einar Otto Stangvik","https://github.com/websockets/ws"
"xml-name-validator@5.0.0","Apache-2.0","backend","Domenic Denicola","https://github.com/jsdom/xml-name-validator"
"xmlbuilder@4.0.0","MIT","extension","Ozgur Ozcitak","https://github.com/oozcitak/xmlbuilder-js"
"xmlchars@2.2.0","MIT","backend","Louis-Dominique Dubeau","https://github.com/lddubeau/xmlchars"
"xmldom@0.1.31","MIT*","extension","jindw","https://github.com/xmldom/xmldom"
"xmlhttprequest-ssl@2.1.2","MIT","dashboard","Michael de Wit","https://github.com/mjwwit/node-XMLHttpRequest"
"xtend@4.0.2","MIT","backend","Raynos","https://github.com/Raynos/xtend"
"y18n@5.0.8","ISC","backend;extension","Ben Coe","https://github.com/yargs/y18n"
"yallist@4.0.0","ISC","backend","Isaac Z. Schlueter","https://github.com/isaacs/yallist"
"yaml@1.10.2","ISC","dashboard;extension","Eemeli Aro","https://github.com/eemeli/yaml"
"yargs-parser@21.1.1","ISC","backend;extension","Ben Coe","https://github.com/yargs/yargs-parser"
"yargs@17.7.2","MIT","backend;extension","","https://github.com/yargs/yargs"
"yauzl@2.10.0","MIT","backend;extension","Josh Wolfe","https://github.com/thejoshwolfe/yauzl"
"youtube-transcript-api@1.1.2","MIT","extension","0x6a69616e","https://github.com/0x6a69616e/youtube-transcript-api"
"youtube-transcript@1.2.1","MIT","extension","Kakulukian","https://github.com/Kakulukian/youtube-transcript"
"zod@3.24.2","MIT","extension","Colin McDonnell","https://github.com/colinhacks/zod"
"zod@3.25.76","MIT","backend","Colin McDonnell","https://github.com/colinhacks/zod"
"zustand@4.5.7","MIT","dashboard","Paul Henschel","https://github.com/pmndrs/zustand"
"zustand@5.0.3","MIT","dashboard;extension","Paul Henschel","https://github.com/pmndrs/zustand"
